"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000115902",855.878939760607,0.878896410313668,0.252863578362078,3.47577304729576,0.000509383158460599,0.0337609873705852,"SLC1A4","6509"
"ENSG00000135631.11",2523.46966196114,0.433102696256816,0.110115525818987,3.93316649069785,8.38341280895375e-05,0.00930525153469332,NA,NA
"ENSG00000159399",1567.8741883696,0.843292025051334,0.238171409354989,3.54069376897556,0.000399076475682218,0.0287231136325655,"HK2","3099"
"ENSG00000143954",4.61797585507574,4.05419786832585,1.20187593384292,3.37322493459272,0.000742932343649806,0.0437423740656724,"REG3G","130120"
"ENSG00000233999",11.6723948787021,3.5748612864836,0.966087548813879,3.70034919803352,0.000215302993658342,0.0187440992094129,NA,NA
"ENSG00000273445",35.8245030505838,2.90924650762876,0.825577879639059,3.52389105786201,0.000425259056545056,0.0298302811284136,NA,NA
"ENSG00000230006",794.210015740168,2.99331394813343,0.720015893665333,4.15728871330268,3.22046890759657e-05,0.00415922054524084,"ANKRD36BP2","645784"
"ENSG00000231486",269.137941000356,4.72636506787184,0.89751963794001,5.26602969793487,1.39405742464459e-07,3.77734893160069e-05,NA,NA
"ENSG00000211593",1957.60110763232,5.47388095199802,0.868549155975443,6.30232717899595,2.93209397434925e-10,1.8732519924626e-07,NA,NA
"ENSG00000211594",3174.89770391393,4.93217607269494,0.800501502993307,6.1613576667278,7.21238808474897e-10,3.9085486644371e-07,NA,NA
"ENSG00000211595",1777.42730563062,6.47726635226946,0.870716151429075,7.43901022352526,1.01442474129778e-13,8.13714079535405e-10,NA,NA
"ENSG00000211598",4068.70536942015,6.79311141984249,0.855658976946807,7.93904067258421,2.0375095931459e-15,5.63126901353663e-11,NA,NA
"ENSG00000211599",27.5581496452124,4.33152680823538,0.955611692648123,4.53272688222573,5.82270809837709e-06,0.00101212582655941,NA,NA
"ENSG00000197794",15.6619483414815,4.97493419775932,1.023062753552,4.86278498604969,1.15745556797384e-06,0.000251887850296544,NA,NA
"ENSG00000243466",4559.38360580331,5.08153239811787,0.877884498729889,5.78838378564579,7.10668906225429e-09,2.93156227317289e-06,NA,NA
"ENSG00000239855",634.268497953126,5.02740074653436,1.13028052785361,4.44792299136686,8.67046011905604e-06,0.00140961280453218,NA,NA
"ENSG00000243063",54.4640193536144,5.48300063186016,0.961188551681043,5.70439652269143,1.16755995665045e-08,4.67666986694278e-06,NA,NA
"ENSG00000240671",142.543070301818,4.54697144637709,0.979228390854764,4.64342281008423,3.42684057361391e-06,0.000681374242975116,NA,NA
"ENSG00000241755",962.02061261559,5.86447292181442,0.912710405763106,6.4253380752367,1.31576759750589e-10,1.03900528171051e-07,NA,NA
"ENSG00000241351",3775.66446120832,4.65962145611313,0.848905776615408,5.48897366995318,4.04275875673081e-08,1.28000088434977e-05,NA,NA
"ENSG00000243290",1360.39059599479,6.01948015406477,1.02428909726011,5.87673945780188,4.18425978299874e-09,1.89581265381179e-06,NA,NA
"ENSG00000244437",1807.80549049417,5.16216902094663,0.798530659241468,6.46458462327574,1.01577440930867e-10,8.25705091896267e-08,NA,NA
"ENSG00000240864",637.037590176426,5.67484691318325,0.872532508027377,6.50388021188226,7.82742348828488e-11,7.21114434564058e-08,NA,NA
"ENSG00000240382",701.765776157877,6.15634424839685,0.922862114554562,6.67092532167531,2.54195553390194e-11,2.88050302144094e-08,NA,NA
"ENSG00000239951",8545.03670899186,5.66519255151889,0.794704357441377,7.12867936166664,1.01336486575041e-12,2.33394817996748e-09,NA,NA
"ENSG00000211611",131.822259199759,4.32488813721107,1.10561984446403,3.91173164887218,9.16367020078461e-05,0.01001049474345,NA,NA
"ENSG00000241294",309.503262468973,6.19849159820999,1.02447379123642,6.05041500449624,1.44473171451125e-09,7.53386700484185e-07,NA,NA
"ENSG00000253202",7.36241861014099,4.95287436509415,1.30558491298548,3.79360569797671,0.000148475385288578,0.0147081100308448,NA,NA
"ENSG00000254098",20.3705088768989,4.12042885959395,1.11278376603355,3.70281179988899,0.000213223058963436,0.0187440992094129,NA,NA
"ENSG00000244575",440.831448062816,4.9766160761598,0.9796211062801,5.080143786466,3.77149299416248e-07,9.39067778132096e-05,NA,NA
"ENSG00000244116",864.425956761092,5.34604056135004,0.890240142354409,6.0051668162384,1.9113528535852e-09,9.43320895846211e-07,NA,NA
"ENSG00000253998",102.397727735542,6.18082403007717,1.1216543012315,5.51045364270531,3.57910065876181e-08,1.16375510596305e-05,NA,NA
"ENSG00000243238",354.943434035813,4.07149886603045,0.998038217644645,4.07950196099617,4.5132289157762e-05,0.00549500532045034,NA,NA
"ENSG00000242076",535.763605922234,4.25109723769169,0.931560554955718,4.56341481514722,5.03282357026622e-06,0.000909131881274626,NA,NA
"ENSG00000239862",20.1545461942964,4.22563212960346,0.893846722678429,4.72746839294915,2.27336437316565e-06,0.0004688898846683,NA,NA
"ENSG00000242371",1996.13845099067,5.04271240745299,0.919272084368178,5.48554937455637,4.12186405337323e-08,1.28000088434977e-05,NA,NA
"ENSG00000211619",79.0536277354375,5.99792495524351,1.40534604234828,4.26793456878508,1.97291173400237e-05,0.00278765955810349,NA,NA
"ENSG00000251039",242.909162232294,4.55639847078218,0.936163313555222,4.86709787150125,1.13248953102166e-06,0.000248410679828387,NA,NA
"ENSG00000251546",165.74978905048,5.61066971506543,1.02460692438152,5.47592406566272,4.35234310123494e-08,1.33655620702146e-05,NA,NA
"ENSG00000250036",5.26445750615368,4.10477382859179,1.21222523292852,3.38614781897864,0.000708811919039409,0.0426800518919634,NA,NA
"ENSG00000239571",14.6830281528865,6.07380826471933,1.31031598754179,4.63537675069819,3.56287960777837e-06,0.000698374940423962,NA,NA
